,city,lat,long,Country,date,temperature,humidity,cloudiness,wind speed
137,Djenné,13.9061,-4.5533,ML,1645501251,73.47,8,16,9.8
138,Yamada,39.4667,141.95,JP,1645501251,31.89,46,8,20.45
139,Anadyr,64.75,177.4833,RU,1645501252,-3.51,84,75,15.66
140,Iqaluit,63.7506,-68.5145,CA,1645501252,-27.67,75,75,19.57
141,Upernavik,72.7868,-56.1549,GL,1645501252,-25.19,100,100,1.32
142,Beringovskiy,63.05,179.3167,RU,1645501253,1.47,91,100,9.48
143,Amazar,53.858,120.875,RU,1645501253,13.87,58,98,3.58
144,Cidreira,-30.1811,-50.2056,BR,1645501254,72.99,84,67,8.19
145,Makakilo City,21.3469,-158.0858,US,1645501115,77.97,66,100,12.66
146,Prince George,53.9166,-122.753,CA,1645501220,5.4,57,0,12.66
147,Lodja,-3.4833,23.4333,CD,1645501254,70.43,94,100,1.21
148,Pevek,69.7008,170.3133,RU,1645501255,-30.46,95,100,2.24
149,Rapid Valley,44.0625,-103.1463,US,1645501077,-4.54,77,100,26.46
150,Emba,48.8264,58.1442,KZ,1645501255,30.45,99,99,5.7
151,Mpraeso,6.5932,-0.7346,GH,1645501256,71.04,94,62,1.99
152,East London,-33.0153,27.9116,ZA,1645500555,65.34,88,0,2.3
153,Sungai Raya,0.7,108.9,ID,1645501256,85.71,61,100,2.86
154,Ambanja,-13.6833,48.45,MG,1645501257,75.13,93,100,2.15
155,Ponta do Sol,32.6667,-17.1,PT,1645501257,63.1,52,44,11.25
156,Naryan-Mar,67.6713,53.087,RU,1645501257,8.58,96,99,5.26
157,Tezu,27.9167,96.1667,IN,1645501258,68.23,26,21,3.33
158,Seoul,37.5683,126.9778,KR,1645501200,29.95,30,0,12.66
159,Namatanai,-3.6667,152.4333,PG,1645501258,84.65,66,50,7.23
160,Aykhal,66.0,111.5,RU,1645501259,8.42,82,26,10.85
161,Athabasca,54.7169,-113.2854,CA,1645501259,-19.01,94,63,4.54
162,Vao,-22.6667,167.4833,NC,1645501260,80.19,80,96,11.95
163,Kalas,18.1667,74.8,IN,1645501260,79.2,17,19,4.05
164,Saskylakh,71.9167,114.0833,RU,1645501261,10.83,91,100,5.57
165,Zhigansk,66.7697,123.3711,RU,1645501261,-6.11,96,96,11.21
166,Sept-Îles,50.2001,-66.3821,CA,1645500961,-5.28,41,75,12.66
167,Srednekolymsk,67.45,153.6833,RU,1645501262,-27.31,94,61,5.3
168,Lorengau,-2.0226,147.2712,PG,1645501262,77.22,91,100,13.22
169,Mandalgovi,45.7625,106.2708,MN,1645501262,15.37,49,0,10.18
170,Chulym,55.0997,80.9572,RU,1645501263,19.72,95,92,10.42
171,Portland,45.5234,-122.6762,US,1645501091,36.39,92,75,6.91
172,Hong Kong,22.2855,114.1577,HK,1645501012,50.95,93,100,8.99
173,Médéa,36.2642,2.7539,DZ,1645501263,32.45,72,0,2.26
174,Zhezkazgan,47.8043,67.7144,KZ,1645501264,13.98,79,100,11.18
175,Paita,-5.0892,-81.1144,PE,1645501264,71.82,79,54,8.23
176,Bonoua,5.2741,-3.595,CI,1645501265,78.42,93,97,4.45
177,Poum,-20.2333,164.0167,NC,1645501265,83.12,75,80,20.07
178,Moose Factory,51.2585,-80.6094,CA,1645501266,-20.22,69,0,2.3
179,Eureka,40.8021,-124.1637,US,1645500969,41.49,81,80,14.38
180,Belmonte,-15.8631,-38.8828,BR,1645501266,75.7,83,14,2.08
181,Celestún,20.8667,-90.4,MX,1645501267,78.57,63,0,11.43
182,Dudinka,69.4058,86.1778,RU,1645501267,15.62,93,100,21.09
183,Sokoni,-6.4333,39.55,TZ,1645501268,78.66,82,100,11.23
